Variable Category,Specific Characteristic,Placebo Group N=90,Drug 1 Group N=90
Age (Years),Number of subjects,90,90
Age (Years),Mean (Standard Deviation),41.2 (6.14),39.2 (5.62)
Age (Years),Median,41,38
Age (Years),Minimum value,27,29
Age (Years),Maximum value,56,55
Age Group,Less than 40 years,36 (40.0%),49 (54.4%)
Age Group,40 years or older,54 (60.0%),41 (45.6%)
Sex,Male,59 (65.6%),57 (63.3%)
Sex,Female,25 (27.8%),32 (35.6%)
Sex,Undifferentiated,6 (6.7%),1 (1.1%)
Ethnicity,Hispanic or Latino,38 (42.2%),29 (32.2%)
Ethnicity,Not Hispanic or Latino,46 (51.1%),50 (55.6%)
Ethnicity,Missing ethnicity data,6 (6.7%),11 (12.2%)
Body Mass Index (kg/m²),Number of subjects,90,90
Body Mass Index (kg/m²),Mean (Standard Deviation),26.2 (4.88),27.2 (4.97)
Body Mass Index (kg/m²),Median,26,27
Body Mass Index (kg/m²),Minimum value,18,18
Body Mass Index (kg/m²),Maximum value,34,35
